Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7006","June","2022","2022","°c","1.469","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7006","June","2023","2023","°c","1.469","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7006","June","2024","2024","°c","1.469","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7007","July","2010","2010","°c","1.201","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7007","July","2011","2011","°c","1.433","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7007","July","2012","2012","°c","-0.181","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7007","July","2013","2013","°c","1.05","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7007","July","2014","2014","°c","4.006","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7007","July","2015","2015","°c","-0.635","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7007","July","2016","2016","°c","1.251","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7007","July","2017","2017","°c","0.262","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7007","July","2018","2018","°c","4.005","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7007","July","2019","2019","°c","1.051","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7007","July","2020","2020","°c","-0.353","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7007","July","2021","2021","°c","2.468","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7007","July","2022","2022","°c","0.929","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7007","July","2023","2023","°c","1.063","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7007","July","2024","2024","°c","1.945","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7007","July","2010","2010","°c","1.074","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7007","July","2011","2011","°c","1.074","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7007","July","2012","2012","°c","1.074","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7007","July","2013","2013","°c","1.074","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7007","July","2014","2014","°c","1.074","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7007","July","2015","2015","°c","1.074","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7007","July","2016","2016","°c","1.074","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7007","July","2017","2017","°c","1.074","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7007","July","2018","2018","°c","1.074","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7007","July","2019","2019","°c","1.074","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7007","July","2020","2020","°c","1.074","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7007","July","2021","2021","°c","1.074","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7007","July","2022","2022","°c","1.074","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7007","July","2023","2023","°c","1.074","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7007","July","2024","2024","°c","1.074","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7008","August","2010","2010","°c","0.43","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7008","August","2011","2011","°c","0.905","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7008","August","2012","2012","°c","0.092","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7008","August","2013","2013","°c","1.206","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7008","August","2014","2014","°c","1.19","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7008","August","2015","2015","°c","1.736","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7008","August","2016","2016","°c","0.053","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7008","August","2017","2017","°c","0.09","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7008","August","2018","2018","°c","0.844","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7008","August","2019","2019","°c","1.52","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7008","August","2020","2020","°c","1.345","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7008","August","2021","2021","°c","0.327","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7008","August","2022","2022","°c","1.718","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7008","August","2023","2023","°c","1.901","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7008","August","2024","2024","°c","2.374","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7008","August","2010","2010","°c","0.996","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7008","August","2011","2011","°c","0.996","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7008","August","2012","2012","°c","0.996","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7008","August","2013","2013","°c","0.996","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7008","August","2014","2014","°c","0.996","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7008","August","2015","2015","°c","0.996","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7008","August","2016","2016","°c","0.996","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7008","August","2017","2017","°c","0.996","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7008","August","2018","2018","°c","0.996","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7008","August","2019","2019","°c","0.996","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7008","August","2020","2020","°c","0.996","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7008","August","2021","2021","°c","0.996","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7008","August","2022","2022","°c","0.996","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7008","August","2023","2023","°c","0.996","E","Estimated value"
"ET","Temperature change on land","578","Norway","6078","Standard Deviation","7008","August","2024","2024","°c","0.996","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7009","September","2010","2010","°c","0.788","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7009","September","2011","2011","°c","2.309","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7009","September","2012","2012","°c","0.085","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7009","September","2013","2013","°c","1.981","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7009","September","2014","2014","°c","1.593","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7009","September","2015","2015","°c","2.218","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7009","September","2016","2016","°c","3.338","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7009","September","2017","2017","°c","1.869","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7009","September","2018","2018","°c","1.421","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7009","September","2019","2019","°c","0.612","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7009","September","2020","2020","°c","1.438","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7009","September","2021","2021","°c","1.283","E","Estimated value"
