Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","578","Norway","7234","Direct emissions (N2O)","5064","Crop Residues","2018","2018","3050","FAO TIER 1","kt","0.1543","E","Estimated value",""
"GT","Emissions totals","578","Norway","7236","Indirect emissions (N2O)","5064","Crop Residues","2018","2018","3050","FAO TIER 1","kt","0.0347","E","Estimated value",""
"GT","Emissions totals","578","Norway","7230","Emissions (N2O)","5064","Crop Residues","2018","2018","3050","FAO TIER 1","kt","0.189","E","Estimated value",""
"GT","Emissions totals","578","Norway","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2018","2018","3050","FAO TIER 1","kt","50.085","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2018","2018","3050","FAO TIER 1","kt","50.085","E","Estimated value",""
"GT","Emissions totals","578","Norway","7234","Direct emissions (N2O)","5064","Crop Residues","2019","2019","3050","FAO TIER 1","kt","0.247","E","Estimated value",""
"GT","Emissions totals","578","Norway","7236","Indirect emissions (N2O)","5064","Crop Residues","2019","2019","3050","FAO TIER 1","kt","0.0556","E","Estimated value",""
"GT","Emissions totals","578","Norway","7230","Emissions (N2O)","5064","Crop Residues","2019","2019","3050","FAO TIER 1","kt","0.3026","E","Estimated value",""
"GT","Emissions totals","578","Norway","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2019","2019","3050","FAO TIER 1","kt","80.189","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2019","2019","3050","FAO TIER 1","kt","80.189","E","Estimated value",""
"GT","Emissions totals","578","Norway","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.2461","E","Estimated value",""
"GT","Emissions totals","578","Norway","7236","Indirect emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.0554","E","Estimated value",""
"GT","Emissions totals","578","Norway","7230","Emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.3015","E","Estimated value",""
"GT","Emissions totals","578","Norway","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","79.8975","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","79.8975","E","Estimated value",""
"GT","Emissions totals","578","Norway","7234","Direct emissions (N2O)","5064","Crop Residues","2021","2021","3050","FAO TIER 1","kt","0.2261","E","Estimated value",""
"GT","Emissions totals","578","Norway","7236","Indirect emissions (N2O)","5064","Crop Residues","2021","2021","3050","FAO TIER 1","kt","0.0509","E","Estimated value",""
"GT","Emissions totals","578","Norway","7230","Emissions (N2O)","5064","Crop Residues","2021","2021","3050","FAO TIER 1","kt","0.277","E","Estimated value",""
"GT","Emissions totals","578","Norway","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2021","2021","3050","FAO TIER 1","kt","73.405","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2021","2021","3050","FAO TIER 1","kt","73.405","E","Estimated value",""
"GT","Emissions totals","578","Norway","7234","Direct emissions (N2O)","5064","Crop Residues","2022","2022","3050","FAO TIER 1","kt","0.2498","E","Estimated value",""
"GT","Emissions totals","578","Norway","7236","Indirect emissions (N2O)","5064","Crop Residues","2022","2022","3050","FAO TIER 1","kt","0.0562","E","Estimated value",""
"GT","Emissions totals","578","Norway","7230","Emissions (N2O)","5064","Crop Residues","2022","2022","3050","FAO TIER 1","kt","0.306","E","Estimated value",""
"GT","Emissions totals","578","Norway","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2022","2022","3050","FAO TIER 1","kt","81.09","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2022","2022","3050","FAO TIER 1","kt","81.09","E","Estimated value",""
"GT","Emissions totals","578","Norway","7234","Direct emissions (N2O)","5064","Crop Residues","2030","2030","3050","FAO TIER 1","kt","0.2717","F","Forecast value",""
"GT","Emissions totals","578","Norway","7236","Indirect emissions (N2O)","5064","Crop Residues","2030","2030","3050","FAO TIER 1","kt","0.0611","F","Forecast value",""
"GT","Emissions totals","578","Norway","7230","Emissions (N2O)","5064","Crop Residues","2030","2030","3050","FAO TIER 1","kt","0.3329","F","Forecast value",""
"GT","Emissions totals","578","Norway","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2030","2030","3050","FAO TIER 1","kt","88.2185","F","Forecast value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2030","2030","3050","FAO TIER 1","kt","88.2185","F","Forecast value",""
"GT","Emissions totals","578","Norway","7234","Direct emissions (N2O)","5064","Crop Residues","2050","2050","3050","FAO TIER 1","kt","0.2748","F","Forecast value",""
"GT","Emissions totals","578","Norway","7236","Indirect emissions (N2O)","5064","Crop Residues","2050","2050","3050","FAO TIER 1","kt","0.0618","F","Forecast value",""
"GT","Emissions totals","578","Norway","7230","Emissions (N2O)","5064","Crop Residues","2050","2050","3050","FAO TIER 1","kt","0.3366","F","Forecast value",""
"GT","Emissions totals","578","Norway","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2050","2050","3050","FAO TIER 1","kt","89.199","F","Forecast value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2050","2050","3050","FAO TIER 1","kt","89.199","F","Forecast value",""
"GT","Emissions totals","578","Norway","7225","Emissions (CH4)","5066","Burning - Crop residues","2010","2010","3050","FAO TIER 1","kt","0.0778","E","Estimated value",""
"GT","Emissions totals","578","Norway","7230","Emissions (N2O)","5066","Burning - Crop residues","2010","2010","3050","FAO TIER 1","kt","0.002","E","Estimated value",""
"GT","Emissions totals","578","Norway","724413","Emissions (CO2eq) from CH4 (AR5)","5066","Burning - Crop residues","2010","2010","3050","FAO TIER 1","kt","2.1784","E","Estimated value",""
"GT","Emissions totals","578","Norway","724313","Emissions (CO2eq) from N2O (AR5)","5066","Burning - Crop residues","2010","2010","3050","FAO TIER 1","kt","0.53","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","2010","2010","3050","FAO TIER 1","kt","2.7084","E","Estimated value",""
"GT","Emissions totals","578","Norway","7225","Emissions (CH4)","5066","Burning - Crop residues","2011","2011","3050","FAO TIER 1","kt","0.0798","E","Estimated value",""
"GT","Emissions totals","578","Norway","7230","Emissions (N2O)","5066","Burning - Crop residues","2011","2011","3050","FAO TIER 1","kt","0.0021","E","Estimated value",""
"GT","Emissions totals","578","Norway","724413","Emissions (CO2eq) from CH4 (AR5)","5066","Burning - Crop residues","2011","2011","3050","FAO TIER 1","kt","2.2344","E","Estimated value",""
"GT","Emissions totals","578","Norway","724313","Emissions (CO2eq) from N2O (AR5)","5066","Burning - Crop residues","2011","2011","3050","FAO TIER 1","kt","0.5565","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","2011","2011","3050","FAO TIER 1","kt","2.7909","E","Estimated value",""
"GT","Emissions totals","578","Norway","7225","Emissions (CH4)","5066","Burning - Crop residues","2012","2012","3050","FAO TIER 1","kt","0.0723","E","Estimated value",""
"GT","Emissions totals","578","Norway","7230","Emissions (N2O)","5066","Burning - Crop residues","2012","2012","3050","FAO TIER 1","kt","0.0019","E","Estimated value",""
"GT","Emissions totals","578","Norway","724413","Emissions (CO2eq) from CH4 (AR5)","5066","Burning - Crop residues","2012","2012","3050","FAO TIER 1","kt","2.0244","E","Estimated value",""
"GT","Emissions totals","578","Norway","724313","Emissions (CO2eq) from N2O (AR5)","5066","Burning - Crop residues","2012","2012","3050","FAO TIER 1","kt","0.5035","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","2012","2012","3050","FAO TIER 1","kt","2.5279","E","Estimated value",""
"GT","Emissions totals","578","Norway","7225","Emissions (CH4)","5066","Burning - Crop residues","2013","2013","3050","FAO TIER 1","kt","0.0592","E","Estimated value",""
"GT","Emissions totals","578","Norway","7230","Emissions (N2O)","5066","Burning - Crop residues","2013","2013","3050","FAO TIER 1","kt","0.0015","E","Estimated value",""
"GT","Emissions totals","578","Norway","724413","Emissions (CO2eq) from CH4 (AR5)","5066","Burning - Crop residues","2013","2013","3050","FAO TIER 1","kt","1.6576","E","Estimated value",""
"GT","Emissions totals","578","Norway","724313","Emissions (CO2eq) from N2O (AR5)","5066","Burning - Crop residues","2013","2013","3050","FAO TIER 1","kt","0.3975","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","2013","2013","3050","FAO TIER 1","kt","2.0551","E","Estimated value",""
"GT","Emissions totals","578","Norway","7225","Emissions (CH4)","5066","Burning - Crop residues","2014","2014","3050","FAO TIER 1","kt","0.0855","E","Estimated value",""
"GT","Emissions totals","578","Norway","7230","Emissions (N2O)","5066","Burning - Crop residues","2014","2014","3050","FAO TIER 1","kt","0.0022","E","Estimated value",""
"GT","Emissions totals","578","Norway","724413","Emissions (CO2eq) from CH4 (AR5)","5066","Burning - Crop residues","2014","2014","3050","FAO TIER 1","kt","2.394","E","Estimated value",""
"GT","Emissions totals","578","Norway","724313","Emissions (CO2eq) from N2O (AR5)","5066","Burning - Crop residues","2014","2014","3050","FAO TIER 1","kt","0.583","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","2014","2014","3050","FAO TIER 1","kt","2.977","E","Estimated value",""
"GT","Emissions totals","578","Norway","7225","Emissions (CH4)","5066","Burning - Crop residues","2015","2015","3050","FAO TIER 1","kt","0.0926","E","Estimated value",""
"GT","Emissions totals","578","Norway","7230","Emissions (N2O)","5066","Burning - Crop residues","2015","2015","3050","FAO TIER 1","kt","0.0024","E","Estimated value",""
"GT","Emissions totals","578","Norway","724413","Emissions (CO2eq) from CH4 (AR5)","5066","Burning - Crop residues","2015","2015","3050","FAO TIER 1","kt","2.5928","E","Estimated value",""
"GT","Emissions totals","578","Norway","724313","Emissions (CO2eq) from N2O (AR5)","5066","Burning - Crop residues","2015","2015","3050","FAO TIER 1","kt","0.636","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","2015","2015","3050","FAO TIER 1","kt","3.2288","E","Estimated value",""
"GT","Emissions totals","578","Norway","7225","Emissions (CH4)","5066","Burning - Crop residues","2016","2016","3050","FAO TIER 1","kt","0.0721","E","Estimated value",""
"GT","Emissions totals","578","Norway","7230","Emissions (N2O)","5066","Burning - Crop residues","2016","2016","3050","FAO TIER 1","kt","0.0019","E","Estimated value",""
"GT","Emissions totals","578","Norway","724413","Emissions (CO2eq) from CH4 (AR5)","5066","Burning - Crop residues","2016","2016","3050","FAO TIER 1","kt","2.0188","E","Estimated value",""
"GT","Emissions totals","578","Norway","724313","Emissions (CO2eq) from N2O (AR5)","5066","Burning - Crop residues","2016","2016","3050","FAO TIER 1","kt","0.5035","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","2016","2016","3050","FAO TIER 1","kt","2.5223","E","Estimated value",""
"GT","Emissions totals","578","Norway","7225","Emissions (CH4)","5066","Burning - Crop residues","2017","2017","3050","FAO TIER 1","kt","0.0818","E","Estimated value",""
"GT","Emissions totals","578","Norway","7230","Emissions (N2O)","5066","Burning - Crop residues","2017","2017","3050","FAO TIER 1","kt","0.0021","E","Estimated value",""
"GT","Emissions totals","578","Norway","724413","Emissions (CO2eq) from CH4 (AR5)","5066","Burning - Crop residues","2017","2017","3050","FAO TIER 1","kt","2.2904","E","Estimated value",""
"GT","Emissions totals","578","Norway","724313","Emissions (CO2eq) from N2O (AR5)","5066","Burning - Crop residues","2017","2017","3050","FAO TIER 1","kt","0.5565","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","2017","2017","3050","FAO TIER 1","kt","2.8469","E","Estimated value",""
"GT","Emissions totals","578","Norway","7225","Emissions (CH4)","5066","Burning - Crop residues","2018","2018","3050","FAO TIER 1","kt","0.0633","E","Estimated value",""
"GT","Emissions totals","578","Norway","7230","Emissions (N2O)","5066","Burning - Crop residues","2018","2018","3050","FAO TIER 1","kt","0.0016","E","Estimated value",""
"GT","Emissions totals","578","Norway","724413","Emissions (CO2eq) from CH4 (AR5)","5066","Burning - Crop residues","2018","2018","3050","FAO TIER 1","kt","1.7724","E","Estimated value",""
"GT","Emissions totals","578","Norway","724313","Emissions (CO2eq) from N2O (AR5)","5066","Burning - Crop residues","2018","2018","3050","FAO TIER 1","kt","0.424","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","2018","2018","3050","FAO TIER 1","kt","2.1964","E","Estimated value",""
"GT","Emissions totals","578","Norway","7225","Emissions (CH4)","5066","Burning - Crop residues","2019","2019","3050","FAO TIER 1","kt","0.0868","E","Estimated value",""
"GT","Emissions totals","578","Norway","7230","Emissions (N2O)","5066","Burning - Crop residues","2019","2019","3050","FAO TIER 1","kt","0.0022","E","Estimated value",""
"GT","Emissions totals","578","Norway","724413","Emissions (CO2eq) from CH4 (AR5)","5066","Burning - Crop residues","2019","2019","3050","FAO TIER 1","kt","2.4304","E","Estimated value",""
"GT","Emissions totals","578","Norway","724313","Emissions (CO2eq) from N2O (AR5)","5066","Burning - Crop residues","2019","2019","3050","FAO TIER 1","kt","0.583","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","2019","2019","3050","FAO TIER 1","kt","3.0134","E","Estimated value",""
"GT","Emissions totals","578","Norway","7225","Emissions (CH4)","5066","Burning - Crop residues","2020","2020","3050","FAO TIER 1","kt","0.0731","E","Estimated value",""
"GT","Emissions totals","578","Norway","7230","Emissions (N2O)","5066","Burning - Crop residues","2020","2020","3050","FAO TIER 1","kt","0.0019","E","Estimated value",""
"GT","Emissions totals","578","Norway","724413","Emissions (CO2eq) from CH4 (AR5)","5066","Burning - Crop residues","2020","2020","3050","FAO TIER 1","kt","2.0468","E","Estimated value",""
"GT","Emissions totals","578","Norway","724313","Emissions (CO2eq) from N2O (AR5)","5066","Burning - Crop residues","2020","2020","3050","FAO TIER 1","kt","0.5035","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","2020","2020","3050","FAO TIER 1","kt","2.5503","E","Estimated value",""
"GT","Emissions totals","578","Norway","7225","Emissions (CH4)","5066","Burning - Crop residues","2021","2021","3050","FAO TIER 1","kt","0.0687","E","Estimated value",""
"GT","Emissions totals","578","Norway","7230","Emissions (N2O)","5066","Burning - Crop residues","2021","2021","3050","FAO TIER 1","kt","0.0018","E","Estimated value",""
"GT","Emissions totals","578","Norway","724413","Emissions (CO2eq) from CH4 (AR5)","5066","Burning - Crop residues","2021","2021","3050","FAO TIER 1","kt","1.9236","E","Estimated value",""
"GT","Emissions totals","578","Norway","724313","Emissions (CO2eq) from N2O (AR5)","5066","Burning - Crop residues","2021","2021","3050","FAO TIER 1","kt","0.477","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","2021","2021","3050","FAO TIER 1","kt","2.4006","E","Estimated value",""
"GT","Emissions totals","578","Norway","7225","Emissions (CH4)","5066","Burning - Crop residues","2022","2022","3050","FAO TIER 1","kt","0.0813","E","Estimated value",""
"GT","Emissions totals","578","Norway","7230","Emissions (N2O)","5066","Burning - Crop residues","2022","2022","3050","FAO TIER 1","kt","0.0021","E","Estimated value",""
"GT","Emissions totals","578","Norway","724413","Emissions (CO2eq) from CH4 (AR5)","5066","Burning - Crop residues","2022","2022","3050","FAO TIER 1","kt","2.2764","E","Estimated value",""
"GT","Emissions totals","578","Norway","724313","Emissions (CO2eq) from N2O (AR5)","5066","Burning - Crop residues","2022","2022","3050","FAO TIER 1","kt","0.5565","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","2022","2022","3050","FAO TIER 1","kt","2.8329","E","Estimated value",""
"GT","Emissions totals","578","Norway","7225","Emissions (CH4)","5066","Burning - Crop residues","2030","2030","3050","FAO TIER 1","kt","0.0873","F","Forecast value",""
"GT","Emissions totals","578","Norway","7230","Emissions (N2O)","5066","Burning - Crop residues","2030","2030","3050","FAO TIER 1","kt","0.0023","F","Forecast value",""
"GT","Emissions totals","578","Norway","724413","Emissions (CO2eq) from CH4 (AR5)","5066","Burning - Crop residues","2030","2030","3050","FAO TIER 1","kt","2.4444","F","Forecast value",""
"GT","Emissions totals","578","Norway","724313","Emissions (CO2eq) from N2O (AR5)","5066","Burning - Crop residues","2030","2030","3050","FAO TIER 1","kt","0.6095","F","Forecast value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","2030","2030","3050","FAO TIER 1","kt","3.0539","F","Forecast value",""
"GT","Emissions totals","578","Norway","7225","Emissions (CH4)","5066","Burning - Crop residues","2050","2050","3050","FAO TIER 1","kt","0.0856","F","Forecast value",""
"GT","Emissions totals","578","Norway","7230","Emissions (N2O)","5066","Burning - Crop residues","2050","2050","3050","FAO TIER 1","kt","0.0022","F","Forecast value",""
"GT","Emissions totals","578","Norway","724413","Emissions (CO2eq) from CH4 (AR5)","5066","Burning - Crop residues","2050","2050","3050","FAO TIER 1","kt","2.3968","F","Forecast value",""
"GT","Emissions totals","578","Norway","724313","Emissions (CO2eq) from N2O (AR5)","5066","Burning - Crop residues","2050","2050","3050","FAO TIER 1","kt","0.583","F","Forecast value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","2050","2050","3050","FAO TIER 1","kt","2.9798","F","Forecast value",""
"GT","Emissions totals","578","Norway","7225","Emissions (CH4)","5058","Enteric Fermentation","2010","2010","3050","FAO TIER 1","kt","84.8948","E","Estimated value",""
"GT","Emissions totals","578","Norway","724413","Emissions (CO2eq) from CH4 (AR5)","5058","Enteric Fermentation","2010","2010","3050","FAO TIER 1","kt","2377.0544","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5058","Enteric Fermentation","2010","2010","3050","FAO TIER 1","kt","2377.0544","E","Estimated value",""
"GT","Emissions totals","578","Norway","7225","Emissions (CH4)","5058","Enteric Fermentation","2011","2011","3050","FAO TIER 1","kt","83.9338","E","Estimated value",""
"GT","Emissions totals","578","Norway","724413","Emissions (CO2eq) from CH4 (AR5)","5058","Enteric Fermentation","2011","2011","3050","FAO TIER 1","kt","2350.1464","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5058","Enteric Fermentation","2011","2011","3050","FAO TIER 1","kt","2350.1464","E","Estimated value",""
"GT","Emissions totals","578","Norway","7225","Emissions (CH4)","5058","Enteric Fermentation","2012","2012","3050","FAO TIER 1","kt","83.2291","E","Estimated value",""
"GT","Emissions totals","578","Norway","724413","Emissions (CO2eq) from CH4 (AR5)","5058","Enteric Fermentation","2012","2012","3050","FAO TIER 1","kt","2330.4148","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5058","Enteric Fermentation","2012","2012","3050","FAO TIER 1","kt","2330.4148","E","Estimated value",""
"GT","Emissions totals","578","Norway","7225","Emissions (CH4)","5058","Enteric Fermentation","2013","2013","3050","FAO TIER 1","kt","82.8009","E","Estimated value",""
"GT","Emissions totals","578","Norway","724413","Emissions (CO2eq) from CH4 (AR5)","5058","Enteric Fermentation","2013","2013","3050","FAO TIER 1","kt","2318.4252","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5058","Enteric Fermentation","2013","2013","3050","FAO TIER 1","kt","2318.4252","E","Estimated value",""
"GT","Emissions totals","578","Norway","7225","Emissions (CH4)","5058","Enteric Fermentation","2014","2014","3050","FAO TIER 1","kt","81.9029","E","Estimated value",""
"GT","Emissions totals","578","Norway","724413","Emissions (CO2eq) from CH4 (AR5)","5058","Enteric Fermentation","2014","2014","3050","FAO TIER 1","kt","2293.2812","E","Estimated value",""
"GT","Emissions totals","578","Norway","723113","Emissions (CO2eq) (AR5)","5058","Enteric Fermentation","2014","2014","3050","FAO TIER 1","kt","2293.2812","E","Estimated value",""
"GT","Emissions totals","578","Norway","7225","Emissions (CH4)","5058","Enteric Fermentation","2015","2015","3050","FAO TIER 1","kt","83.4158","E","Estimated value",""
"GT","Emissions totals","578","Norway","724413","Emissions (CO2eq) from CH4 (AR5)","5058","Enteric Fermentation","2015","2015","3050","FAO TIER 1","kt","2335.6424","E","Estimated value",""
