Domain Code,Domain,Area Code (M49),Area,Indicator Code,Indicator,Sex Code,Sex,Year Code,Year,Element Code,Element,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21160","Total employment in agrifood systems (AFS)","1","Total","2020","2020","6199","Value","3044","FAO Model","1000 No","207.22","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21160","Total employment in agrifood systems (AFS)","1","Total","2021","2021","6199","Value","3044","FAO Model","1000 No","210.3","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21160","Total employment in agrifood systems (AFS)","1","Total","2022","2022","6199","Value","3044","FAO Model","1000 No","239.2","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21163","Total non-agricultural AFS employment","1","Total","2010","2010","6199","Value","3044","FAO Model","1000 No","149.71","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21163","Total non-agricultural AFS employment","1","Total","2011","2011","6199","Value","3044","FAO Model","1000 No","152.94","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21163","Total non-agricultural AFS employment","1","Total","2012","2012","6199","Value","3044","FAO Model","1000 No","153.57","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21163","Total non-agricultural AFS employment","1","Total","2013","2013","6199","Value","3044","FAO Model","1000 No","158.96","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21163","Total non-agricultural AFS employment","1","Total","2014","2014","6199","Value","3044","FAO Model","1000 No","160.72","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21163","Total non-agricultural AFS employment","1","Total","2015","2015","6199","Value","3044","FAO Model","1000 No","161.34","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21163","Total non-agricultural AFS employment","1","Total","2016","2016","6199","Value","3044","FAO Model","1000 No","147.44","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21163","Total non-agricultural AFS employment","1","Total","2017","2017","6199","Value","3044","FAO Model","1000 No","142.68","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21163","Total non-agricultural AFS employment","1","Total","2018","2018","6199","Value","3044","FAO Model","1000 No","153.64","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21163","Total non-agricultural AFS employment","1","Total","2019","2019","6199","Value","3044","FAO Model","1000 No","155.84","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21163","Total non-agricultural AFS employment","1","Total","2020","2020","6199","Value","3044","FAO Model","1000 No","148.66","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21163","Total non-agricultural AFS employment","1","Total","2021","2021","6199","Value","3044","FAO Model","1000 No","144.27","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21163","Total non-agricultural AFS employment","1","Total","2022","2022","6199","Value","3044","FAO Model","1000 No","175.81","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21161","Share of AFS employment in total employment","1","Total","2010","2010","6121","Value","3044","FAO Model","%","8.44","X","Figure from external organization","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21161","Share of AFS employment in total employment","1","Total","2011","2011","6121","Value","3044","FAO Model","%","8.29","X","Figure from external organization","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21161","Share of AFS employment in total employment","1","Total","2012","2012","6121","Value","3044","FAO Model","%","8.09","X","Figure from external organization","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21161","Share of AFS employment in total employment","1","Total","2013","2013","6121","Value","3044","FAO Model","%","8.22","X","Figure from external organization","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21161","Share of AFS employment in total employment","1","Total","2014","2014","6121","Value","3044","FAO Model","%","8.29","X","Figure from external organization","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21161","Share of AFS employment in total employment","1","Total","2015","2015","6121","Value","3044","FAO Model","%","8.03","X","Figure from external organization","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21161","Share of AFS employment in total employment","1","Total","2016","2016","6121","Value","3044","FAO Model","%","7.58","X","Figure from external organization","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21161","Share of AFS employment in total employment","1","Total","2017","2017","6121","Value","3044","FAO Model","%","7.35","X","Figure from external organization","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21161","Share of AFS employment in total employment","1","Total","2018","2018","6121","Value","3044","FAO Model","%","7.72","X","Figure from external organization","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21161","Share of AFS employment in total employment","1","Total","2019","2019","6121","Value","3044","FAO Model","%","7.65","X","Figure from external organization","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21161","Share of AFS employment in total employment","1","Total","2020","2020","6121","Value","3044","FAO Model","%","7.48","X","Figure from external organization","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21161","Share of AFS employment in total employment","1","Total","2021","2021","6121","Value","3044","FAO Model","%","7.48","X","Figure from external organization","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21161","Share of AFS employment in total employment","1","Total","2022","2022","6121","Value","3044","FAO Model","%","8.28","X","Figure from external organization","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21162","Share of agricultural employment in total AFS employment","1","Total","2010","2010","6121","Value","3044","FAO Model","%","30.2","X","Figure from external organization","ILO Modelled Estimates"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21162","Share of agricultural employment in total AFS employment","1","Total","2011","2011","6121","Value","3044","FAO Model","%","28.57","X","Figure from external organization","ILO Modelled Estimates"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21162","Share of agricultural employment in total AFS employment","1","Total","2012","2012","6121","Value","3044","FAO Model","%","27.53","X","Figure from external organization","ILO Modelled Estimates"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21162","Share of agricultural employment in total AFS employment","1","Total","2013","2013","6121","Value","3044","FAO Model","%","26.85","X","Figure from external organization","ILO Modelled Estimates"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21162","Share of agricultural employment in total AFS employment","1","Total","2014","2014","6121","Value","3044","FAO Model","%","27.13","X","Figure from external organization","ILO Modelled Estimates"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21162","Share of agricultural employment in total AFS employment","1","Total","2015","2015","6121","Value","3044","FAO Model","%","25.03","X","Figure from external organization","ILO Modelled Estimates"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21162","Share of agricultural employment in total AFS employment","1","Total","2016","2016","6121","Value","3044","FAO Model","%","27.58","X","Figure from external organization","ILO Modelled Estimates"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21162","Share of agricultural employment in total AFS employment","1","Total","2017","2017","6121","Value","3044","FAO Model","%","28.03","X","Figure from external organization","ILO Modelled Estimates"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21162","Share of agricultural employment in total AFS employment","1","Total","2018","2018","6121","Value","3044","FAO Model","%","27.21","X","Figure from external organization","ILO Modelled Estimates"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21162","Share of agricultural employment in total AFS employment","1","Total","2019","2019","6121","Value","3044","FAO Model","%","26.61","X","Figure from external organization","ILO Modelled Estimates"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21162","Share of agricultural employment in total AFS employment","1","Total","2020","2020","6121","Value","3044","FAO Model","%","28.26","X","Figure from external organization","ILO Modelled Estimates"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21162","Share of agricultural employment in total AFS employment","1","Total","2021","2021","6121","Value","3044","FAO Model","%","31.4","X","Figure from external organization","ILO Modelled Estimates"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21162","Share of agricultural employment in total AFS employment","1","Total","2022","2022","6121","Value","3044","FAO Model","%","26.5","X","Figure from external organization","ILO Modelled Estimates"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21164","Share of non-agricultural AFS employment in total AFS employment","1","Total","2010","2010","6121","Value","3044","FAO Model","%","69.8","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21164","Share of non-agricultural AFS employment in total AFS employment","1","Total","2011","2011","6121","Value","3044","FAO Model","%","71.43","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21164","Share of non-agricultural AFS employment in total AFS employment","1","Total","2012","2012","6121","Value","3044","FAO Model","%","72.47","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21164","Share of non-agricultural AFS employment in total AFS employment","1","Total","2013","2013","6121","Value","3044","FAO Model","%","73.15","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21164","Share of non-agricultural AFS employment in total AFS employment","1","Total","2014","2014","6121","Value","3044","FAO Model","%","72.87","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21164","Share of non-agricultural AFS employment in total AFS employment","1","Total","2015","2015","6121","Value","3044","FAO Model","%","74.97","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21164","Share of non-agricultural AFS employment in total AFS employment","1","Total","2016","2016","6121","Value","3044","FAO Model","%","72.42","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21164","Share of non-agricultural AFS employment in total AFS employment","1","Total","2017","2017","6121","Value","3044","FAO Model","%","71.97","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21164","Share of non-agricultural AFS employment in total AFS employment","1","Total","2018","2018","6121","Value","3044","FAO Model","%","72.79","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21164","Share of non-agricultural AFS employment in total AFS employment","1","Total","2019","2019","6121","Value","3044","FAO Model","%","73.39","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21164","Share of non-agricultural AFS employment in total AFS employment","1","Total","2020","2020","6121","Value","3044","FAO Model","%","71.74","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21164","Share of non-agricultural AFS employment in total AFS employment","1","Total","2021","2021","6121","Value","3044","FAO Model","%","68.6","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21164","Share of non-agricultural AFS employment in total AFS employment","1","Total","2022","2022","6121","Value","3044","FAO Model","%","73.5","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21167","Share of non-agricultural AFS employment in total employment","1","Total","2010","2010","6121","Value","3044","FAO Model","%","5.89","X","Figure from external organization","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21167","Share of non-agricultural AFS employment in total employment","1","Total","2011","2011","6121","Value","3044","FAO Model","%","5.92","X","Figure from external organization","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21167","Share of non-agricultural AFS employment in total employment","1","Total","2012","2012","6121","Value","3044","FAO Model","%","5.86","X","Figure from external organization","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21167","Share of non-agricultural AFS employment in total employment","1","Total","2013","2013","6121","Value","3044","FAO Model","%","6.01","X","Figure from external organization","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21167","Share of non-agricultural AFS employment in total employment","1","Total","2014","2014","6121","Value","3044","FAO Model","%","6.04","X","Figure from external organization","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21167","Share of non-agricultural AFS employment in total employment","1","Total","2015","2015","6121","Value","3044","FAO Model","%","6.02","X","Figure from external organization","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21167","Share of non-agricultural AFS employment in total employment","1","Total","2016","2016","6121","Value","3044","FAO Model","%","5.49","X","Figure from external organization","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21167","Share of non-agricultural AFS employment in total employment","1","Total","2017","2017","6121","Value","3044","FAO Model","%","5.29","X","Figure from external organization","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21167","Share of non-agricultural AFS employment in total employment","1","Total","2018","2018","6121","Value","3044","FAO Model","%","5.62","X","Figure from external organization","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21167","Share of non-agricultural AFS employment in total employment","1","Total","2019","2019","6121","Value","3044","FAO Model","%","5.62","X","Figure from external organization","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21167","Share of non-agricultural AFS employment in total employment","1","Total","2020","2020","6121","Value","3044","FAO Model","%","5.36","X","Figure from external organization","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21167","Share of non-agricultural AFS employment in total employment","1","Total","2021","2021","6121","Value","3044","FAO Model","%","5.13","X","Figure from external organization","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21167","Share of non-agricultural AFS employment in total employment","1","Total","2022","2022","6121","Value","3044","FAO Model","%","6.08","X","Figure from external organization","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","1","Total","2010","2010","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","64.77","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","1","Total","2011","2011","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","61.17","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","1","Total","2012","2012","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","58.35","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","1","Total","2013","2013","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","58.35","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","1","Total","2014","2014","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","59.83","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","1","Total","2015","2015","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","53.86","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","1","Total","2016","2016","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","56.15","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","1","Total","2017","2017","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","55.56","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","1","Total","2018","2018","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","57.43","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","1","Total","2019","2019","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","56.5","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","1","Total","2020","2020","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","58.56","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","1","Total","2021","2021","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","66.03","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","1","Total","2022","2022","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","63.39","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","1","Total","2023","2023","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","72.52","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","2","Male","2010","2010","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","52.06","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","2","Male","2011","2011","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","50.08","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","2","Male","2012","2012","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","47.67","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","2","Male","2013","2013","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","46.48","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","2","Male","2014","2014","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","46.73","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","2","Male","2015","2015","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","42.01","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","2","Male","2016","2016","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","43.39","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","2","Male","2017","2017","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","43.32","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","2","Male","2018","2018","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","43.2","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","2","Male","2019","2019","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","42.68","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","2","Male","2020","2020","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","45.2","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","2","Male","2021","2021","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","52.52","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","2","Male","2022","2022","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","51.25","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","2","Male","2023","2023","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","55.25","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","3","Female","2010","2010","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","12.71","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","3","Female","2011","2011","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","11.09","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","3","Female","2012","2012","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","10.68","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","3","Female","2013","2013","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","11.86","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","3","Female","2014","2014","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","13.11","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","3","Female","2015","2015","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","11.85","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","3","Female","2016","2016","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","12.76","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","3","Female","2017","2017","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","12.24","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","3","Female","2018","2018","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","14.23","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","3","Female","2019","2019","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","13.81","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","3","Female","2020","2020","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","13.36","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","3","Female","2021","2021","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","13.51","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","3","Female","2022","2022","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","12.14","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21144","Employment in agriculture - ILO modelled estimates","3","Female","2023","2023","6199","Value","3043","ILO - ILO Modelled Estimates","1000 No","17.27","X","Figure from external organization","Adjusted"
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21156","Share of employment in agriculture in total employment - ILO Modelled Estimates","1","Total","2010","2010","6121","Value","3043","ILO - ILO Modelled Estimates","%","2.5","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21156","Share of employment in agriculture in total employment - ILO Modelled Estimates","1","Total","2011","2011","6121","Value","3043","ILO - ILO Modelled Estimates","%","2.4","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21156","Share of employment in agriculture in total employment - ILO Modelled Estimates","1","Total","2012","2012","6121","Value","3043","ILO - ILO Modelled Estimates","%","2.2","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21156","Share of employment in agriculture in total employment - ILO Modelled Estimates","1","Total","2013","2013","6121","Value","3043","ILO - ILO Modelled Estimates","%","2.2","X","Figure from external organization",""
"OEA","Employment Indicators: Agriculture and agrifood systems","578","Norway","21156","Share of employment in agriculture in total employment - ILO Modelled Estimates","1","Total","2014","2014","6121","Value","3043","ILO - ILO Modelled Estimates","%","2.2","X","Figure from external organization",""
