Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","578","Norway","5412","Yield","01341","Apples","2018","2018","kg/ha","10253.6","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01341","Apples","2018","2018","t","14878","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01341","Apples","2019","2019","ha","1506","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01341","Apples","2019","2019","kg/ha","10460.2","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01341","Apples","2019","2019","t","15753","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01341","Apples","2020","2020","ha","1543","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01341","Apples","2020","2020","kg/ha","7812.7","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01341","Apples","2020","2020","t","12055","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01341","Apples","2021","2021","ha","1573","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01341","Apples","2021","2021","kg/ha","11901.5","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01341","Apples","2021","2021","t","18721","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01341","Apples","2022","2022","ha","1596","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01341","Apples","2022","2022","kg/ha","10699.9","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01341","Apples","2022","2022","t","17077","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01341","Apples","2023","2023","ha","1648","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01341","Apples","2023","2023","kg/ha","12199","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01341","Apples","2023","2023","t","20104","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","0115","Barley","2010","2010","ha","146180","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","0115","Barley","2010","2010","kg/ha","3702.3","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","0115","Barley","2010","2010","t","541200","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","0115","Barley","2011","2011","ha","147974","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","0115","Barley","2011","2011","kg/ha","3342.5","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","0115","Barley","2011","2011","t","494600","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","0115","Barley","2012","2012","ha","156535","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","0115","Barley","2012","2012","kg/ha","3661.8","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","0115","Barley","2012","2012","t","573200","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","0115","Barley","2013","2013","ha","159387","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","0115","Barley","2013","2013","kg/ha","3233","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","0115","Barley","2013","2013","t","515300","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","0115","Barley","2014","2014","ha","126506","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","0115","Barley","2014","2014","kg/ha","4169","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","0115","Barley","2014","2014","t","527400","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","0115","Barley","2015","2015","ha","123292","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","0115","Barley","2015","2015","kg/ha","4142.2","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","0115","Barley","2015","2015","t","510700","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","0115","Barley","2016","2016","ha","137556","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","0115","Barley","2016","2016","kg/ha","4614.8","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","0115","Barley","2016","2016","t","634800","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","0115","Barley","2017","2017","ha","134857","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","0115","Barley","2017","2017","kg/ha","4257.1","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","0115","Barley","2017","2017","t","574100","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","0115","Barley","2018","2018","ha","147951","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","0115","Barley","2018","2018","kg/ha","2980","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","0115","Barley","2018","2018","t","440900","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","0115","Barley","2019","2019","ha","130495","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","0115","Barley","2019","2019","kg/ha","4333.5","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","0115","Barley","2019","2019","t","565500","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","0115","Barley","2020","2020","ha","139222","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","0115","Barley","2020","2020","kg/ha","4586.2","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","0115","Barley","2020","2020","t","638500","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","0115","Barley","2021","2021","ha","142745","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","0115","Barley","2021","2021","kg/ha","4286","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","0115","Barley","2021","2021","t","611800","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","0115","Barley","2022","2022","ha","131305","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","0115","Barley","2022","2022","kg/ha","4501","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","0115","Barley","2022","2022","t","591000","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","0115","Barley","2023","2023","ha","141922","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","0115","Barley","2023","2023","kg/ha","2853.7","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","0115","Barley","2023","2023","t","405000","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","24310.01","Beer of barley, malted","2010","2010","t","243600","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","578","Norway","5510","Production","24310.01","Beer of barley, malted","2011","2011","t","234600","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","578","Norway","5510","Production","24310.01","Beer of barley, malted","2012","2012","t","230400","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","578","Norway","5510","Production","24310.01","Beer of barley, malted","2013","2013","t","233900","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","578","Norway","5510","Production","24310.01","Beer of barley, malted","2014","2014","t","239600","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","24310.01","Beer of barley, malted","2015","2015","t","255400","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","578","Norway","5510","Production","24310.01","Beer of barley, malted","2016","2016","t","253480.3","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","24310.01","Beer of barley, malted","2017","2017","t","248188.9","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","24310.01","Beer of barley, malted","2018","2018","t","545324","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","24310.01","Beer of barley, malted","2019","2019","t","225967","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","24310.01","Beer of barley, malted","2020","2020","t","290840","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","24310.01","Beer of barley, malted","2021","2021","t","245105","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","24310.01","Beer of barley, malted","2022","2022","t","228756","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01355.01","Blueberries","2010","2010","ha","23","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01355.01","Blueberries","2010","2010","kg/ha","2521.7","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01355.01","Blueberries","2010","2010","t","58","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01355.01","Blueberries","2011","2011","ha","25","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01355.01","Blueberries","2011","2011","kg/ha","560","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01355.01","Blueberries","2011","2011","t","14","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01355.01","Blueberries","2012","2012","ha","23","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01355.01","Blueberries","2012","2012","kg/ha","1521.7","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01355.01","Blueberries","2012","2012","t","35","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01355.01","Blueberries","2013","2013","ha","25","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01355.01","Blueberries","2013","2013","kg/ha","1080","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01355.01","Blueberries","2013","2013","t","27","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01355.01","Blueberries","2014","2014","ha","22","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01355.01","Blueberries","2014","2014","kg/ha","136.4","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01355.01","Blueberries","2014","2014","t","3","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01355.01","Blueberries","2015","2015","ha","20","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01355.01","Blueberries","2015","2015","kg/ha","200","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01355.01","Blueberries","2015","2015","t","4","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01355.01","Blueberries","2016","2016","ha","20","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01355.01","Blueberries","2016","2016","kg/ha","450","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01355.01","Blueberries","2016","2016","t","9","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01355.01","Blueberries","2017","2017","ha","19","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01355.01","Blueberries","2017","2017","kg/ha","1587.3","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01355.01","Blueberries","2017","2017","t","30","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01355.01","Blueberries","2018","2018","ha","18","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01355.01","Blueberries","2018","2018","kg/ha","1428.6","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01355.01","Blueberries","2018","2018","t","26","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01355.01","Blueberries","2019","2019","ha","18","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01355.01","Blueberries","2019","2019","kg/ha","2111.1","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01355.01","Blueberries","2019","2019","t","38","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01355.01","Blueberries","2020","2020","ha","20","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01355.01","Blueberries","2020","2020","kg/ha","1150","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01355.01","Blueberries","2020","2020","t","23","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01355.01","Blueberries","2021","2021","ha","20","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01355.01","Blueberries","2021","2021","kg/ha","2000","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01355.01","Blueberries","2021","2021","t","40","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01355.01","Blueberries","2022","2022","ha","19","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01355.01","Blueberries","2022","2022","kg/ha","2000","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01355.01","Blueberries","2022","2022","t","38","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01355.01","Blueberries","2023","2023","ha","19","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01355.01","Blueberries","2023","2023","kg/ha","2105.3","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01355.01","Blueberries","2023","2023","t","40","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","21513","Buffalo fat, unrendered","2023","2023","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","578","Norway","5510","Production","22241.01","Butter of cow milk","2010","2010","t","15800","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","578","Norway","5510","Production","22241.01","Butter of cow milk","2011","2011","t","15300","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","578","Norway","5510","Production","22241.01","Butter of cow milk","2012","2012","t","15100","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","578","Norway","5510","Production","22241.01","Butter of cow milk","2013","2013","t","15500","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","578","Norway","5510","Production","22241.01","Butter of cow milk","2014","2014","t","14200","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","578","Norway","5510","Production","22241.01","Butter of cow milk","2015","2015","t","15800","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","578","Norway","5510","Production","22241.01","Butter of cow milk","2016","2016","t","16500","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","578","Norway","5510","Production","22241.01","Butter of cow milk","2017","2017","t","14900","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","578","Norway","5510","Production","22241.01","Butter of cow milk","2018","2018","t","15800","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","578","Norway","5510","Production","22241.01","Butter of cow milk","2019","2019","t","16300","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","578","Norway","5510","Production","22241.01","Butter of cow milk","2020","2020","t","15000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","578","Norway","5510","Production","22241.01","Butter of cow milk","2021","2021","t","17300","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","578","Norway","5510","Production","22241.01","Butter of cow milk","2022","2022","t","18100","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","578","Norway","5510","Production","22230.04","Buttermilk, dry","2014","2014","t","1689.13","I","Value 
imputed by a
receiving 
agency",""
"QCL","Crops and livestock products","578","Norway","5510","Production","22230.04","Buttermilk, dry","2015","2015","t","1852.49","I","Value 
imputed by a
receiving 
agency",""
"QCL","Crops and livestock products","578","Norway","5510","Production","22230.04","Buttermilk, dry","2016","2016","t","1932.66","I","Value 
imputed by a
receiving 
agency",""
"QCL","Crops and livestock products","578","Norway","5510","Production","22230.04","Buttermilk, dry","2017","2017","t","1757.3","I","Value 
imputed by a
receiving 
agency",""
"QCL","Crops and livestock products","578","Norway","5510","Production","22230.04","Buttermilk, dry","2018","2018","t","1857.23","I","Value 
imputed by a
receiving 
agency",""
"QCL","Crops and livestock products","578","Norway","5510","Production","22230.04","Buttermilk, dry","2019","2019","t","1827","I","Value 
imputed by a
receiving 
agency",""
"QCL","Crops and livestock products","578","Norway","5510","Production","22230.04","Buttermilk, dry","2020","2020","t","1764","I","Value 
imputed by a
receiving 
agency",""
"QCL","Crops and livestock products","578","Norway","5510","Production","22230.04","Buttermilk, dry","2021","2021","t","1764.58","I","Value 
imputed by a
receiving 
agency",""
"QCL","Crops and livestock products","578","Norway","5510","Production","22230.04","Buttermilk, dry","2022","2022","t","2128.48","I","Value 
imputed by a
receiving 
agency",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01212","Cabbages","2010","2010","ha","1262","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01212","Cabbages","2010","2010","kg/ha","28943.7","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01212","Cabbages","2010","2010","t","36527","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01212","Cabbages","2011","2011","ha","1268","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01212","Cabbages","2011","2011","kg/ha","26921.1","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01212","Cabbages","2011","2011","t","34136","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01212","Cabbages","2012","2012","ha","1344","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01212","Cabbages","2012","2012","kg/ha","27796.1","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01212","Cabbages","2012","2012","t","37358","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01212","Cabbages","2013","2013","ha","1347","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01212","Cabbages","2013","2013","kg/ha","27256.1","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01212","Cabbages","2013","2013","t","36714","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01212","Cabbages","2014","2014","ha","900","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01212","Cabbages","2014","2014","kg/ha","43413.3","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01212","Cabbages","2014","2014","t","39072","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01212","Cabbages","2015","2015","ha","1461","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01212","Cabbages","2015","2015","kg/ha","25627","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01212","Cabbages","2015","2015","t","37441","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01212","Cabbages","2016","2016","ha","1568","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01212","Cabbages","2016","2016","kg/ha","25011.5","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01212","Cabbages","2016","2016","t","39218","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01212","Cabbages","2017","2017","ha","1365","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01212","Cabbages","2017","2017","kg/ha","27779.7","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01212","Cabbages","2017","2017","t","37911","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01212","Cabbages","2018","2018","ha","1285","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01212","Cabbages","2018","2018","kg/ha","24595.8","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01212","Cabbages","2018","2018","t","31613","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01212","Cabbages","2019","2019","ha","1414","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01212","Cabbages","2019","2019","kg/ha","23681","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01212","Cabbages","2019","2019","t","33485","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01212","Cabbages","2020","2020","ha","1334","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01212","Cabbages","2020","2020","kg/ha","27345.6","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01212","Cabbages","2020","2020","t","36479","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01212","Cabbages","2021","2021","ha","1492","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01212","Cabbages","2021","2021","kg/ha","25406.2","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01212","Cabbages","2021","2021","t","37906","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01212","Cabbages","2022","2022","ha","1370","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01212","Cabbages","2022","2022","kg/ha","23220.4","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01212","Cabbages","2022","2022","t","31812","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01212","Cabbages","2023","2023","ha","1368","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01212","Cabbages","2023","2023","kg/ha","22693.7","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01212","Cabbages","2023","2023","t","31045","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01251","Carrots and turnips","2010","2010","ha","1432","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01251","Carrots and turnips","2010","2010","kg/ha","32509.1","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01251","Carrots and turnips","2010","2010","t","46553","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01251","Carrots and turnips","2011","2011","ha","1452","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01251","Carrots and turnips","2011","2011","kg/ha","28542","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01251","Carrots and turnips","2011","2011","t","41443","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01251","Carrots and turnips","2012","2012","ha","1469","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01251","Carrots and turnips","2012","2012","kg/ha","29871.3","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01251","Carrots and turnips","2012","2012","t","43881","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01251","Carrots and turnips","2013","2013","ha","1563","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01251","Carrots and turnips","2013","2013","kg/ha","29970.6","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01251","Carrots and turnips","2013","2013","t","46844","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01251","Carrots and turnips","2014","2014","ha","1602","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01251","Carrots and turnips","2014","2014","kg/ha","34773.4","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01251","Carrots and turnips","2014","2014","t","55707","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01251","Carrots and turnips","2015","2015","ha","1540","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01251","Carrots and turnips","2015","2015","kg/ha","33864.9","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01251","Carrots and turnips","2015","2015","t","52152","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01251","Carrots and turnips","2016","2016","ha","1666","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01251","Carrots and turnips","2016","2016","kg/ha","31566","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01251","Carrots and turnips","2016","2016","t","52589","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01251","Carrots and turnips","2017","2017","ha","1476","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01251","Carrots and turnips","2017","2017","kg/ha","35145.6","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","01251","Carrots and turnips","2017","2017","t","51889","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","01251","Carrots and turnips","2018","2018","ha","1669","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01251","Carrots and turnips","2018","2018","kg/ha","25936.1","A","Official figure",""
